B0001	驾驶席正面第1级气囊展开控制
P0166	氧传感器电路 无活动信号 (第2排 传感器3)
P0167	氧传感器加热器电路 (第2排 传感器3)
P0170	燃油修正故障 (第1排)
P0171	混合气过稀 (第1排)
P0172	混合气过浓 (第1排)
P0173	燃油修正故障 (第2排)
P0174	混合气过稀 (第2排)
P0175	混合气过浓 (第2排)
P0180	燃油温度传感器A电路
P0181	燃油温度传感器A 范围/性能
P0182	燃油温度传感器A 输入过低
P0183	燃油温度传感器A 输入过高
P0190	燃油轨压力传感器电路
P0191	燃油轨压力传感器 范围/性能
P0192	燃油轨压力传感器 输入过低
P0193	燃油轨压力传感器 输入过高
P0194	燃油轨压力传感器 间歇故障
P0201	喷油器电路/断路 - 第1缸
P0202	喷油器电路/断路 - 第2缸
P0203	喷油器电路/断路 - 第3缸
P0204	喷油器电路/断路 - 第4缸
P0205	喷油器电路/断路 - 第5缸
P0206	喷油器电路/断路 - 第6缸
P0207	喷油器电路/断路 - 第7缸
P0208	喷油器电路/断路 - 第8缸
P0209	喷油器电路/断路 - 第9缸
P0210	喷油器电路/断路 - 第10缸
P0211	喷油器电路/断路 - 第11缸
P0212	喷油器电路/断路 - 第12缸
P0217	发动机温度过高
P0219	发动机超速
P0220	节气门/踏板位置传感器B电路
P0221	节气门/踏板位置传感器B 范围/性能
P0222	节气门/踏板位置传感器B 输入过低
P0223	节气门/踏板位置传感器B 输入过高
P0230	燃油泵主电路
P0231	燃油泵副电路 过低
P0232	燃油泵副电路 过高
P0234	增压压力过高
P0261	第1缸 喷油器电路过低
P0262	第1缸 喷油器电路过高
P0263	第1缸 贡献度/平衡
P0264	第2缸 喷油器电路过低
P0265	第2缸 喷油器电路过高
P0266	第2缸 贡献度/平衡
P0267	第3缸 喷油器电路过低
P0268	第3缸 喷油器电路过高
P0269	第3缸 贡献度/平衡
P0270	第4缸 喷油器电路过低
P0271	第4缸 喷油器电路过高
P0272	第4缸 贡献度/平衡
P0273	第5缸 喷油器电路过低
P0274	第5缸 喷油器电路过高
P0275	第5缸 贡献度/平衡
P0276	第6缸 喷油器电路过低
P0277	第6缸 喷油器电路过高
P0278	第6缸 贡献度/平衡
P0279	第7缸 喷油器电路过低
P0280	第7缸 喷油器电路过高
P0281	第7缸 贡献度/平衡
P0282	第8缸 喷油器电路过低
P0283	第8缸 喷油器电路过高
P0284	第8缸 贡献度/平衡
P0285	第9缸 喷油器电路过低
P0286	第9缸 喷油器电路过高
P0287	第9缸 贡献度/平衡
P0288	第10缸 喷油器电路过低
P0289	第10缸 喷油器电路过高
P0290	第10缸 贡献度/平衡
P0291	第11缸 喷油器电路过低
P0292	第11缸 喷油器电路过高
P0293	第11缸 贡献度/平衡
P0294	第12缸 喷油器电路过低
P0295	第12缸 喷油器电路过高
P0296	第12缸 贡献度/平衡
P0299	增压压力不足
P0300	随机/多缸失火
P0301	第1缸 失火
P0302	第2缸 失火
P0303	第3缸 失火
P0304	第4缸 失火
P0305	第5缸 失火
P0306	第6缸 失火
P0307	第7缸 失火
P0308	第8缸 失火
P0309	第9缸 失火
P0310	第10缸 失火
P0311	第11缸 失火
P0312	第12缸 失火
P0313	低油量时检测到失火
P0314	单缸失火 (未确定缸号)
P0315	曲轴位置系统变差未学习
P0320	点火/分电器 转速输入电路
P0321	点火/分电器 转速输入 范围/性能
P0322	点火/分电器 无转速信号
P0323	点火/分电器 转速信号间歇
P0325	爆震传感器1 电路 (第1排)
P0326	爆震传感器1 范围/性能 (第1排)
P0327	爆震传感器1 输入过低 (第1排)
P0328	爆震传感器1 输入过高 (第1排)
P0329	爆震传感器1 间歇故障 (第1排)
P0330	爆震传感器2 电路 (第2排)
P0331	爆震传感器2 范围/性能 (第2排)
P0332	爆震传感器2 输入过低 (第2排)
P0333	爆震传感器2 输入过高 (第2排)
P0334	爆震传感器2 间歇故障 (第2排)
P0335	曲轴位置传感器A 电路
P0336	曲轴位置传感器A 范围/性能
P0337	曲轴位置传感器A 输入过低
P0338	曲轴位置传感器A 输入过高
P0339	曲轴位置传感器A 间歇故障
P0340	凸轮轴位置传感器A (第1排) 电路
P0341	凸轮轴位置传感器A (第1排) 范围/性能
P0342	凸轮轴位置传感器A (第1排) 输入过低
P0343	凸轮轴位置传感器A (第1排) 输入过高
P0344	凸轮轴位置传感器A (第1排) 间歇故障
P0345	凸轮轴位置传感器A (第2排) 电路
P0346	凸轮轴位置传感器A (第2排) 范围/性能
P0347	凸轮轴位置传感器A (第2排) 输入过低
P0348	凸轮轴位置传感器A (第2排) 输入过高
P0349	凸轮轴位置传感器A (第2排) 间歇故障
P0350	点火线圈 初级/次级电路
P0351	点火线圈A 初级/次级电路
P0352	点火线圈B 初级/次级电路
P0353	点火线圈C 初级/次级电路
P0354	点火线圈D 初级/次级电路
P0355	点火线圈E 初级/次级电路
P0356	点火线圈F 初级/次级电路
P0357	点火线圈G 初级/次级电路
P0358	点火线圈H 初级/次级电路
P0359	点火线圈I 初级/次级电路
P0360	点火线圈J 初级/次级电路
P0361	点火线圈K 初级/次级电路
P0362	点火线圈L 初级/次级电路
P0365	凸轮轴位置传感器B (第1排) 电路
P0366	凸轮轴位置传感器B (第1排) 范围/性能
P0367	凸轮轴位置传感器B (第1排) 输入过低
P0368	凸轮轴位置传感器B (第1排) 输入过高
P0369	凸轮轴位置传感器B (第1排) 间歇故障
P0390	凸轮轴位置传感器B (第2排) 电路
P0391	凸轮轴位置传感器B (第2排) 范围/性能
P0392	凸轮轴位置传感器B (第2排) 输入过低
P0393	凸轮轴位置传感器B (第2排) 输入过高
P0394	凸轮轴位置传感器B (第2排) 间歇故障
P0400	废气再循环流量
P0401	废气再循环流量不足
P0402	废气再循环流量过大
P0403	废气再循环电路
P0404	废气再循环电路 范围/性能
P0405	废气再循环传感器A 过低
P0406	废气再循环传感器A 过高
P0407	废气再循环传感器B 过低
P0408	废气再循环传感器B 过高
P0410	二次空气喷射系统
P0411	二次空气喷射 流量异常
P0412	二次空气切换阀A 电路
P0413	二次空气切换阀A 电路断路
P0414	二次空气切换阀A 电路短路
P0420	催化器效率低于阈值 (第1排)
P0421	起燃催化器效率低于阈值 (第1排)
P0422	主催化器效率低于阈值 (第1排)
P0423	加热催化器效率低于阈值 (第1排)
P0424	加热催化器温度低于阈值 (第1排)
P0430	催化器效率低于阈值 (第2排)
P0431	起燃催化器效率低于阈值 (第2排)
P0432	主催化器效率低于阈值 (第2排)
P0433	加热催化器效率低于阈值 (第2排)
P0434	加热催化器温度低于阈值 (第2排)
P0440	燃油蒸发排放控制系统
P0441	燃油蒸发系统 清污流量异常
P0442	燃油蒸发系统 检测到小泄漏
P0443	燃油蒸发系统 清污控制阀电路
P0444	燃油蒸发系统 清污控制阀断路
P0445	燃油蒸发系统 清污控制阀短路
P0446	燃油蒸发系统 通风控制电路
P0447	燃油蒸发系统 通风控制断路
P0448	燃油蒸发系统 通风控制短路
P0449	燃油蒸发系统 通风阀/电磁阀电路
P0450	燃油蒸发系统 压力传感器
P0451	燃油蒸发系统 压力传感器 范围/性能
P0452	燃油蒸发系统 压力传感器 输入过低
P0453	燃油蒸发系统 压力传感器 输入过高
P0454	燃油蒸发系统 压力传感器 间歇故障
P0455	燃油蒸发系统 检测到大泄漏
P0456	燃油蒸发系统 检测到极小泄漏
P0457	燃油蒸发系统 泄漏 (油箱盖未拧紧)
P0458	燃油蒸发系统 清污控制阀 过低
P0459	燃油蒸发系统 清污控制阀 过高
P0460	燃油液位传感器电路
P0461	燃油液位传感器 范围/性能
P0462	燃油液位传感器 输入过低
P0463	燃油液位传感器 输入过高
P0480	冷却风扇1 控制电路
P0481	冷却风扇2 控制电路
P0500	车速传感器A
P0501	车速传感器A 范围/性能
P0502	车速传感器A 输入过低
P0503	车速传感器A 间歇/异常/过高
P0505	怠速控制系统
P0506	怠速转速低于预期
P0507	怠速转速高于预期
P0510	节气门全关位置开关
P0520	机油压力传感器/开关电路
P0521	机油压力传感器 范围/性能
P0522	机油压力传感器 电压过低
P0523	机油压力传感器 电压过高
P0530	空调制冷剂压力传感器A 电路
P0532	空调制冷剂压力传感器A 过低
P0533	空调制冷剂压力传感器A 过高
P0560	系统电压
P0561	系统电压不稳
P0562	系统电压过低
P0563	系统电压过高
P0571	制动开关A 电路
P0600	串行通信链路
P0601	控制模块存储器校验和错误
P0602	控制模块编程错误
P0603	控制模块保持存储器错误
P0604	控制模块RAM错误
P0605	控制模块ROM错误
P0606	ECM/PCM 处理器故障
P0607	控制模块性能
P0620	发电机控制电路
P0625	发电机F端子电路 过低
P0626	发电机F端子电路 过高
P0630	VIN 未写入或不匹配 - ECM/PCM
P0645	空调离合器继电器控制电路
P0650	故障指示灯控制电路
P0685	ECM/PCM 电源继电器控制电路/断路
P0700	变速器控制系统 (请求点亮MIL)
P0701	变速器控制系统 范围/性能
P0702	变速器控制系统 电气故障
P0703	变矩器/制动开关B 电路
P0705	变速器挡位传感器电路 (PRNDL)
P0706	变速器挡位传感器 范围/性能
P0707	变速器挡位传感器 输入过低
P0708	变速器挡位传感器 输入过高
P0710	变速器油温传感器A 电路
P0711	变速器油温传感器A 范围/性能
P0712	变速器油温传感器A 输入过低
P0713	变速器油温传感器A 输入过高
P0714	变速器油温传感器A 间歇故障
P0715	输入轴/涡轮转速传感器A 电路
P0716	输入轴/涡轮转速传感器A 范围/性能
P0717	输入轴/涡轮转速传感器A 输入过低
P0718	输入轴/涡轮转速传感器A 输入过高
P0719	输入轴/涡轮转速传感器A 间歇故障
P0720	输出轴转速传感器 电路
P0721	输出轴转速传感器 范围/性能
P0722	输出轴转速传感器 输入过低
P0723	输出轴转速传感器 输入过高
P0724	输出轴转速传感器 间歇故障
P0725	发动机转速输入 电路
P0726	发动机转速输入 范围/性能
P0727	发动机转速输入 输入过低
P0728	发动机转速输入 输入过高
P0729	发动机转速输入 间歇故障
P0730	挡位传动比不正确
P0731	第1挡 传动比不正确
P0732	第2挡 传动比不正确
P0733	第3挡 传动比不正确
P0734	第4挡 传动比不正确
P0735	第5挡 传动比不正确
P0736	倒挡传动比不正确
P0740	变矩器锁止离合器电路
P0741	变矩器离合器 性能/卡在分离
P0742	变矩器离合器 卡在结合
P0743	变矩器离合器 电气故障
P0744	变矩器离合器 间歇故障
P0745	压力控制电磁阀A
P0746	压力控制电磁阀A 性能或卡在关闭
P0747	压力控制电磁阀A 卡在开启
P0748	压力控制电磁阀A 电气故障
P0749	压力控制电磁阀A 间歇故障
P0750	换挡电磁阀A
P0751	换挡电磁阀A 性能或卡在关闭
P0752	换挡电磁阀A 卡在开启
P0753	换挡电磁阀A 电气故障
P0754	换挡电磁阀A 间歇故障
P0755	换挡电磁阀B
P0756	换挡电磁阀B 性能或卡在关闭
P0757	换挡电磁阀B 卡在开启
P0758	换挡电磁阀B 电气故障
P0759	换挡电磁阀B 间歇故障
P0760	换挡电磁阀C
P0761	换挡电磁阀C 性能或卡在关闭
P0762	换挡电磁阀C 卡在开启
P0763	换挡电磁阀C 电气故障
P0764	换挡电磁阀C 间歇故障
P0765	换挡电磁阀D
P0766	换挡电磁阀D 性能或卡在关闭
P0767	换挡电磁阀D 卡在开启
P0768	换挡电磁阀D 电气故障
P0769	换挡电磁阀D 间歇故障
P0770	换挡电磁阀E
P0771	换挡电磁阀E 性能或卡在关闭
P0772	换挡电磁阀E 卡在开启
P0773	换挡电磁阀E 电气故障
P0774	换挡电磁阀E 间歇故障
P0780	换挡故障
P0781	1-2挡 换挡故障
P0782	2-3挡 换挡故障
P0783	3-4挡 换挡故障
P0784	4-5挡 换挡故障
P2000	氮氧化物捕集器效率低于阈值 (第1排)
P2002	颗粒捕集器效率低于阈值 (第1排)
P2004	进气歧管调节控制 卡在开启 (第1排)
P2006	进气歧管调节控制 卡在关闭 (第1排)
P2015	进气歧管位置传感器 范围/性能 (第1排)
P2096	催化器后燃油修正过稀 (第1排)
P2097	催化器后燃油修正过浓 (第1排)
P2101	节气门执行器A 范围/性能
P2119	节气门体A 范围/性能
P2122	节气门/踏板位置传感器D 输入过低
P2123	节气门/踏板位置传感器D 输入过高
P2127	节气门/踏板位置传感器E 输入过低
P2128	节气门/踏板位置传感器E 输入过高
P2135	节气门/踏板位置传感器A/B 电压相关性
P2138	节气门/踏板位置传感器D/E 电压相关性
P2187	怠速时混合气过稀 (第1排)
P2188	怠速时混合气过浓 (第1排)
P2195	氧传感器信号卡在稀 (第1排 传感器1)
P2196	氧传感器信号卡在浓 (第1排 传感器1)
P2270	氧传感器信号卡在稀 (第1排 传感器2)
P2271	氧传感器信号卡在浓 (第1排 传感器2)
P2279	进气系统泄漏
P2413	废气再循环系统性能
P2463	颗粒捕集器堵塞 - 碳烟堆积
U0001	高速CAN通信总线
U0002	高速CAN通信总线 性能
U0003	高速CAN通信总线 (+) 断路
U0004	高速CAN通信总线 (+) 过低
U0005	高速CAN通信总线 (+) 过高
U0010	中速CAN通信总线
U0073	控制模块通信总线A 关闭
U0074	控制模块通信总线B 关闭
U0100	与发动机控制模块A通信丢失
U0101	与变速器控制模块通信丢失
U0102	与分动箱控制模块通信丢失
U0103	与换挡控制模块通信丢失
U0104	与巡航控制模块通信丢失
U0105	与喷油器控制模块通信丢失
U0106	与电热塞控制模块通信丢失
U0107	与节气门执行器控制模块通信丢失
U0109	与燃油泵控制模块通信丢失
U0110	与驱动电机控制模块通信丢失
U0111	与电池能量控制模块A通信丢失
U0121	与ABS控制模块通信丢失
U0122	与车辆动态控制模块通信丢失
U0123	与横摆角速度传感器模块通信丢失
U0124	与侧向加速度传感器模块通信丢失
U0126	与转向角传感器模块通信丢失
U0128	与驻车制动控制模块通信丢失
U0129	与制动系统控制模块通信丢失
U0131	与动力转向控制模块通信丢失
U0140	与车身控制模块通信丢失
U0151	与安全气囊控制模块通信丢失
U0155	与仪表控制模块通信丢失
U0164	与空调控制模块通信丢失
U0167	与防盗控制模块通信丢失
U0184	与音响主机通信丢失
U0199	与车门控制模块A通信丢失
U0208	与座椅控制模块A通信丢失
U0212	与转向柱控制模块通信丢失
U0214	与乘员分类系统模块通信丢失
U0300	控制模块软件不兼容
U0301	与ECM/PCM软件不兼容
U0302	与变速器控制模块软件不兼容
U0401	从发动机控制模块A接收到无效数据
U0402	从变速器控制模块接收到无效数据
U0415	从ABS控制模块接收到无效数据
U0416	从车辆动态控制模块接收到无效数据
U0422	从车身控制模块接收到无效数据
U0447	从网关A接收到无效数据
