B0001	運転席フロントエアバッグ 第1段 展開制御
P0181	燃料温度センサーA 範囲/性能
P0182	燃料温度センサーA 入力低
P0183	燃料温度センサーA 入力高
P0190	燃料レール圧センサー回路
P0191	燃料レール圧センサー 範囲/性能
P0192	燃料レール圧センサー 入力低
P0193	燃料レール圧センサー 入力高
P0194	燃料レール圧センサー 断続
P0201	インジェクター回路/断線 - 気筒1
P0202	インジェクター回路/断線 - 気筒2
P0203	インジェクター回路/断線 - 気筒3
P0204	インジェクター回路/断線 - 気筒4
P0205	インジェクター回路/断線 - 気筒5
P0206	インジェクター回路/断線 - 気筒6
P0207	インジェクター回路/断線 - 気筒7
P0208	インジェクター回路/断線 - 気筒8
P0209	インジェクター回路/断線 - 気筒9
P0210	インジェクター回路/断線 - 気筒10
P0211	インジェクター回路/断線 - 気筒11
P0212	インジェクター回路/断線 - 気筒12
P0217	エンジン オーバーヒート
P0219	エンジン オーバーレブ
P0220	スロットル/ペダル位置センサーB回路
P0221	スロットル/ペダル位置センサーB 範囲/性能
P0222	スロットル/ペダル位置センサーB 入力低
P0223	スロットル/ペダル位置センサーB 入力高
P0230	燃料ポンプ 一次回路
P0231	燃料ポンプ 二次回路 低
P0232	燃料ポンプ 二次回路 高
P0234	過給圧 過大
P0261	気筒1 インジェクター回路 低
P0262	気筒1 インジェクター回路 高
P0263	気筒1 寄与/バランス
P0264	気筒2 インジェクター回路 低
P0265	気筒2 インジェクター回路 高
P0266	気筒2 寄与/バランス
P0267	気筒3 インジェクター回路 低
P0268	気筒3 インジェクター回路 高
P0269	気筒3 寄与/バランス
P0270	気筒4 インジェクター回路 低
P0271	気筒4 インジェクター回路 高
P0272	気筒4 寄与/バランス
P0273	気筒5 インジェクター回路 低
P0274	気筒5 インジェクター回路 高
P0275	気筒5 寄与/バランス
P0276	気筒6 インジェクター回路 低
P0277	気筒6 インジェクター回路 高
P0278	気筒6 寄与/バランス
P0279	気筒7 インジェクター回路 低
P0280	気筒7 インジェクター回路 高
P0281	気筒7 寄与/バランス
P0282	気筒8 インジェクター回路 低
P0283	気筒8 インジェクター回路 高
P0284	気筒8 寄与/バランス
P0285	気筒9 インジェクター回路 低
P0286	気筒9 インジェクター回路 高
P0287	気筒9 寄与/バランス
P0288	気筒10 インジェクター回路 低
P0289	気筒10 インジェクター回路 高
P0290	気筒10 寄与/バランス
P0291	気筒11 インジェクター回路 低
P0292	気筒11 インジェクター回路 高
P0293	気筒11 寄与/バランス
P0294	気筒12 インジェクター回路 低
P0295	気筒12 インジェクター回路 高
P0296	気筒12 寄与/バランス
P0299	過給圧 不足
P0300	ランダム/複数気筒 失火検出
P0301	気筒1 失火検出
P0302	気筒2 失火検出
P0303	気筒3 失火検出
P0304	気筒4 失火検出
P0305	気筒5 失火検出
P0306	気筒6 失火検出
P0307	気筒7 失火検出
P0308	気筒8 失火検出
P0309	気筒9 失火検出
P0310	気筒10 失火検出
P0311	気筒11 失火検出
P0312	気筒12 失火検出
P0313	燃料残量低下時の失火検出
P0314	単気筒失火 (気筒特定不可)
P0315	クランク角 学習未完了
P0320	点火/ディストリビューター 回転信号回路
P0321	点火/ディストリビューター 回転信号 範囲/性能
P0322	点火/ディストリビューター 回転信号なし
P0323	点火/ディストリビューター 回転信号 断続
P0325	ノックセンサー1 回路 (バンク1)
P0326	ノックセンサー1 範囲/性能 (バンク1)
P0327	ノックセンサー1 入力低 (バンク1)
P0328	ノックセンサー1 入力高 (バンク1)
P0329	ノックセンサー1 断続 (バンク1)
P0330	ノックセンサー2 回路 (バンク2)
P0331	ノックセンサー2 範囲/性能 (バンク2)
P0332	ノックセンサー2 入力低 (バンク2)
P0333	ノックセンサー2 入力高 (バンク2)
P0334	ノックセンサー2 断続 (バンク2)
P0335	クランク角センサーA 回路
P0336	クランク角センサーA 範囲/性能
P0337	クランク角センサーA 入力低
P0338	クランク角センサーA 入力高
P0339	クランク角センサーA 断続
P0340	カム角センサーA (バンク1) 回路
P0341	カム角センサーA (バンク1) 範囲/性能
P0342	カム角センサーA (バンク1) 入力低
P0343	カム角センサーA (バンク1) 入力高
P0344	カム角センサーA (バンク1) 断続
P0345	カム角センサーA (バンク2) 回路
P0346	カム角センサーA (バンク2) 範囲/性能
P0347	カム角センサーA (バンク2) 入力低
P0348	カム角センサーA (バンク2) 入力高
P0349	カム角センサーA (バンク2) 断続
P0350	イグニッションコイル 一次/二次回路
P0351	イグニッションコイルA 一次/二次回路
P0352	イグニッションコイルB 一次/二次回路
P0353	イグニッションコイルC 一次/二次回路
P0354	イグニッションコイルD 一次/二次回路
P0355	イグニッションコイルE 一次/二次回路
P0356	イグニッションコイルF 一次/二次回路
P0357	イグニッションコイルG 一次/二次回路
P0358	イグニッションコイルH 一次/二次回路
P0359	イグニッションコイルI 一次/二次回路
P0360	イグニッションコイルJ 一次/二次回路
P0361	イグニッションコイルK 一次/二次回路
P0362	イグニッションコイルL 一次/二次回路
P0365	カム角センサーB (バンク1) 回路
P0366	カム角センサーB (バンク1) 範囲/性能
P0367	カム角センサーB (バンク1) 入力低
P0368	カム角センサーB (バンク1) 入力高
P0369	カム角センサーB (バンク1) 断続
P0390	カム角センサーB (バンク2) 回路
P0391	カム角センサーB (バンク2) 範囲/性能
P0392	カム角センサーB (バンク2) 入力低
P0393	カム角センサーB (バンク2) 入力高
P0394	カム角センサーB (バンク2) 断続
P0400	EGR 流量
P0401	EGR 流量不足
P0402	EGR 流量過大
P0403	EGR 回路
P0404	EGR 回路 範囲/性能
P0405	EGR センサーA 低
P0406	EGR センサーA 高
P0407	EGR センサーB 低
P0408	EGR センサーB 高
P0410	二次エア供給システム
P0411	二次エア供給 流量異常
P0412	二次エア切替バルブA 回路
P0413	二次エア切替バルブA 回路 断線
P0414	二次エア切替バルブA 回路 短絡
P0420	触媒 浄化効率低下 (バンク1)
P0421	暖機用触媒 浄化効率低下 (バンク1)
P0422	メイン触媒 浄化効率低下 (バンク1)
P0423	加熱触媒 浄化効率低下 (バンク1)
P0424	加熱触媒 温度低下 (バンク1)
P0430	触媒 浄化効率低下 (バンク2)
P0431	暖機用触媒 浄化効率低下 (バンク2)
P0432	メイン触媒 浄化効率低下 (バンク2)
P0433	加熱触媒 浄化効率低下 (バンク2)
P0434	加熱触媒 温度低下 (バンク2)
P0440	蒸発ガス排出制御システム
P0441	蒸発ガス パージ流量異常
P0442	蒸発ガス 小リーク検出
P0443	蒸発ガス パージ制御バルブ回路
P0444	蒸発ガス パージ制御バルブ 断線
P0445	蒸発ガス パージ制御バルブ 短絡
P0446	蒸発ガス ベント制御回路
P0447	蒸発ガス ベント制御 断線
P0448	蒸発ガス ベント制御 短絡
P0449	蒸発ガス ベントバルブ/ソレノイド回路
P0450	蒸発ガス 圧力センサー
P0451	蒸発ガス 圧力センサー 範囲/性能
P0452	蒸発ガス 圧力センサー 入力低
P0453	蒸発ガス 圧力センサー 入力高
P0454	蒸発ガス 圧力センサー 断続
P0455	蒸発ガス 大リーク検出
P0456	蒸発ガス 極小リーク検出
P0457	蒸発ガス リーク (給油口キャップ緩み)
P0458	蒸発ガス パージ制御バルブ 低
P0459	蒸発ガス パージ制御バルブ 高
P0460	燃料レベルセンサー回路
P0461	燃料レベルセンサー 範囲/性能
P0462	燃料レベルセンサー 入力低
P0463	燃料レベルセンサー 入力高
P0480	ファン1 制御回路
P0481	ファン2 制御回路
P0500	車速センサーA
P0501	車速センサーA 範囲/性能
P0502	車速センサーA 入力低
P0503	車速センサーA 断続/異常/高
P0505	アイドル制御システム
P0506	アイドル回転 低すぎ
P0507	アイドル回転 高すぎ
P0510	スロットル全閉スイッチ
P0520	油圧センサー/スイッチ回路
P0521	油圧センサー 範囲/性能
P0522	油圧センサー 電圧低
P0523	油圧センサー 電圧高
P0530	エアコン冷媒圧センサーA 回路
P0532	エアコン冷媒圧センサーA 低
P0533	エアコン冷媒圧センサーA 高
P0560	システム電圧
P0561	システム電圧 不安定
P0562	システム電圧 低
P0563	システム電圧 高
P0571	ブレーキスイッチA 回路
P0600	シリアル通信リンク
P0601	制御モジュール メモリー チェックサム異常
P0602	制御モジュール プログラミング異常
P0603	制御モジュール KAM 異常
P0604	制御モジュール RAM 異常
P0605	制御モジュール ROM 異常
P0606	ECM/PCM プロセッサー異常
P0607	制御モジュール 性能
P0620	オルタネーター制御回路
P0625	オルタネーター F端子 低
P0626	オルタネーター F端子 高
P0630	VIN 未書き込み/不一致 - ECM/PCM
P0645	エアコンクラッチリレー制御回路
P0650	MIL 制御回路
P0685	ECM/PCM 電源リレー制御回路/断線
P0700	変速機制御システム (MIL要求)
P0701	変速機制御システム 範囲/性能
P0702	変速機制御システム 電気系
P0703	トルコン/ブレーキスイッチB 回路
P0705	シフト位置センサー回路 (PRNDL)
P0706	シフト位置センサー 範囲/性能
P0707	シフト位置センサー 入力低
P0708	シフト位置センサー 入力高
P0710	ATF温度センサーA 回路
P0711	ATF温度センサーA 範囲/性能
P0712	ATF温度センサーA 入力低
P0713	ATF温度センサーA 入力高
P0714	ATF温度センサーA 断続
P0715	インプット/タービン回転センサーA 回路
P0716	インプット/タービン回転センサーA 範囲/性能
P0717	インプット/タービン回転センサーA 入力低
P0718	インプット/タービン回転センサーA 入力高
P0719	インプット/タービン回転センサーA 断続
P0720	アウトプット回転センサー 回路
P0721	アウトプット回転センサー 範囲/性能
P0722	アウトプット回転センサー 入力低
P0723	アウトプット回転センサー 入力高
P0724	アウトプット回転センサー 断続
P0725	エンジン回転入力 回路
P0726	エンジン回転入力 範囲/性能
P0727	エンジン回転入力 入力低
P0728	エンジン回転入力 入力高
P0729	エンジン回転入力 断続
P0730	ギヤ比 異常
P0731	1 速 ギヤ比異常
P0732	2 速 ギヤ比異常
P0733	3 速 ギヤ比異常
P0734	4 速 ギヤ比異常
P0735	5 速 ギヤ比異常
P0736	リバース ギヤ比異常
P0740	ロックアップクラッチ回路
P0741	ロックアップクラッチ 性能/解放固着
P0742	ロックアップクラッチ 係合固着
P0743	ロックアップクラッチ 電気系
P0744	ロックアップクラッチ 断続
P0745	プレッシャーコントロールソレノイドA
P0746	プレッシャーコントロールソレノイドA 性能/OFF固着
P0747	プレッシャーコントロールソレノイドA ON固着
P0748	プレッシャーコントロールソレノイドA 電気系
P0749	プレッシャーコントロールソレノイドA 断続
P0750	シフトソレノイドA
P0751	シフトソレノイドA 性能/OFF固着
P0752	シフトソレノイドA ON固着
P0753	シフトソレノイドA 電気系
P0754	シフトソレノイドA 断続
P0755	シフトソレノイドB
P0756	シフトソレノイドB 性能/OFF固着
P0757	シフトソレノイドB ON固着
P0758	シフトソレノイドB 電気系
P0759	シフトソレノイドB 断続
P0760	シフトソレノイドC
P0761	シフトソレノイドC 性能/OFF固着
P0762	シフトソレノイドC ON固着
P0763	シフトソレノイドC 電気系
P0764	シフトソレノイドC 断続
P0765	シフトソレノイドD
P0766	シフトソレノイドD 性能/OFF固着
P0767	シフトソレノイドD ON固着
P0768	シフトソレノイドD 電気系
P0769	シフトソレノイドD 断続
P0770	シフトソレノイドE
P0771	シフトソレノイドE 性能/OFF固着
P0772	シフトソレノイドE ON固着
P0773	シフトソレノイドE 電気系
P0774	シフトソレノイドE 断続
P0780	変速 異常
P0781	1-2速 変速異常
P0782	2-3速 変速異常
P0783	3-4速 変速異常
P0784	4-5速 変速異常
P2000	NOxトラップ 効率低下 (バンク1)
P2002	DPF 捕集効率低下 (バンク1)
P2004	吸気マニホールド可変制御 開固着 (バンク1)
P2006	吸気マニホールド可変制御 閉固着 (バンク1)
P2015	吸気マニホールド位置センサー 範囲/性能 (バンク1)
P2096	触媒後 燃料補正 薄すぎ (バンク1)
P2097	触媒後 燃料補正 濃すぎ (バンク1)
P2101	スロットルアクチュエーターA 範囲/性能
P2119	スロットルボディA 範囲/性能
P2122	スロットル/ペダル位置センサーD 入力低
P2123	スロットル/ペダル位置センサーD 入力高
P2127	スロットル/ペダル位置センサーE 入力低
P2128	スロットル/ペダル位置センサーE 入力高
P2135	スロットル/ペダル位置センサーA/B 電圧相関
P2138	スロットル/ペダル位置センサーD/E 電圧相関
P2187	アイドル時 混合気 薄すぎ (バンク1)
P2188	アイドル時 混合気 濃すぎ (バンク1)
P2195	O2センサー信号 リーン固着 (バンク1 センサー1)
P2196	O2センサー信号 リッチ固着 (バンク1 センサー1)
P2270	O2センサー信号 リーン固着 (バンク1 センサー2)
P2271	O2センサー信号 リッチ固着 (バンク1 センサー2)
P2279	吸気系 リーク
P2413	EGRシステム 性能
P2463	DPF 詰まり - すす堆積
U0001	高速CAN通信バス
U0002	高速CAN通信バス 性能
U0003	高速CAN通信バス (+) 断線
U0004	高速CAN通信バス (+) 低
U0005	高速CAN通信バス (+) 高
U0010	中速CAN通信バス
U0073	制御モジュール通信バスA オフ
U0074	制御モジュール通信バスB オフ
U0100	エンジン制御モジュールA との通信途絶
U0101	変速機制御モジュール との通信途絶
U0102	トランスファー制御モジュール との通信途絶
U0103	シフト制御モジュール との通信途絶
U0104	クルーズコントロールモジュール との通信途絶
U0105	インジェクター制御モジュール との通信途絶
U0106	グロープラグ制御モジュール との通信途絶
U0107	スロットルアクチュエーター制御モジュール との通信途絶
U0109	燃料ポンプ制御モジュール との通信途絶
U0110	駆動モーター制御モジュール との通信途絶
U0111	バッテリーエネルギー制御モジュールA との通信途絶
U0121	ABS制御モジュール との通信途絶
U0122	車両姿勢制御モジュール との通信途絶
U0123	ヨーレートセンサーモジュール との通信途絶
U0124	横加速度センサーモジュール との通信途絶
U0126	舵角センサーモジュール との通信途絶
U0128	パーキングブレーキ制御モジュール との通信途絶
U0129	ブレーキシステム制御モジュール との通信途絶
U0131	パワーステアリング制御モジュール との通信途絶
U0140	ボディ制御モジュール との通信途絶
U0151	エアバッグ制御モジュール との通信途絶
U0155	メーター制御モジュール との通信途絶
U0164	エアコン制御モジュール との通信途絶
U0167	イモビライザー制御モジュール との通信途絶
U0184	オーディオ との通信途絶
U0199	ドア制御モジュールA との通信途絶
U0208	シート制御モジュールA との通信途絶
U0212	ステアリングコラム制御モジュール との通信途絶
U0214	乗員判別システムモジュール との通信途絶
U0300	制御モジュール ソフトウェア不整合
U0301	ECM/PCM ソフトウェア不整合
U0302	変速機制御モジュール ソフトウェア不整合
U0401	エンジン制御モジュールA から不正データ受信
U0402	変速機制御モジュール から不正データ受信
U0415	ABS制御モジュール から不正データ受信
U0416	車両姿勢制御モジュール から不正データ受信
U0422	ボディ制御モジュール から不正データ受信
U0447	ゲートウェイA から不正データ受信
